us-ar	tanf-s11	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-58	Page 58	s, specified in TEA 2272, are not counted in determining the family’s resource eligibility. Resource eligibility is determined as of the first day of a calenda
us-ar	tanf-s12	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-62	Page 62	Except for property specifically disregarded in TEA 2272 and excess motor vehicles, the equity value of any other real or personal property available to
us-ar	tanf-s15	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-104	Page 104	iance: • If the applicant does not participate in his or her assigned work activity for two weeks, the TEA application will be denied. • If the applicant
us-ar	tanf-s17	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-180	Page 180	E APPENDIX O: AFDC OVERPAYMENTS 9000 Overpayments 9007 Application of Sanction for Untimely Report of Earnings and 4 Month Exclusions Limit 9006.2
us-ar	tanf-s19	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-22	Page 22	CY MANUAL,SECTION 2000 2100 TEA Application Process 2121 Minor Parent Personal Responsibility Agreement 2120.1 Head - of - Household Minor Parent 07/01/99 For purposes of
us-ar	tanf-s20	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-22	Page 22	SISTANCE POLICY MANUAL,SECTION 2000 2100 TEA Application Process 2121 Minor Parent Personal Responsibility Agreement 2120.1 Head - of - Household Minor
us-ar	tanf-s21	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-12	Page 12	CE POLICY MANUAL, SECTION 2000 2000 TEA Application 2013 Cancelling a Diversion Payment 3. The Diversion Assistance amount will alleviate the crisis. 4. The
us-ar	tanf-s23	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-55	Page 55	o leave the state at some future time. Residence is not affected by a temporary absence from the state, provided the absence is less than one (1) month. Hom
us-ar	tanf-s25	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-13	Page 13	RANSITIONAL EMPLOYMENT ASSISTANCE POLICY MANUAL,SECTION 2000 2100 TEA Application Process 2101 Preliminary Income and Resource Eligibility Screening 2100 TEA
us-ar	tanf-s26	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-141	Page 141	TRANSITIONAL EMPLOYMENT ASSISTANCE POLICY MANUAL, SECTION 8000 8000 Administrative Hearings (TEA) 8002 DCO Administrative Hearing File 8002 DCO Administrative
us-ar	tanf-s27	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-165	Page 165	LICY MANUAL, SECTION 9000 9100 Procedure for Reporting and Collecting Overpayments 9101 Responsibility for Reporting the Overpayment 9100 Procedure fo
us-ar	tanf-s28	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-54	Page 54	TANCE POLICY MANUAL, SECTION 2000 2200 Eligibility Determination 2240 Fugitive Felons and Parole or Probation Violators The Immigration Reform and Contro
us-ar	tanf-s30	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-135	Page 135	to earnings. These services are Child Care, ESS Employment Bonus and Transportation assistance, ESS Job Retention, ESS Case Management Services, and Transitional Me
us-ar	tanf-s31	us-ar/policy/2026-07-02-ar-tea-official-documents	us-ar/policy/dhs/tea/manual/2024/page-181	Page 181	ENDIX O: AFDC OVERPAYMENTS 9000 Overpayments 9008 Overpayments Due to Lump-Sum Income Beginning June, 1982 through August, 1990 9008 Overpayments Due to L
us-az	tanf-s01	us-az/manual/2025-10-30-az-des-faa5-manual-r2026-07-15-self-contained	us-az/manual/des/faa5/supplemental-payments-and-restored-benefits		cy Legal Authorities Underpayments occur when it is discovered that a budgetary unit is entitled to supplemental payments or restored benefits. Policy A b
us-az	tanf-s03	us-az/manual/2026-07-17-faa5-recovery	us-az/manual/des/faa5/ca-benefit-determination/block-4	CA Needy Family Test	st is based on the earned and unearned income of the family(g) of the caretaker relative(g) . All members of the caretaker relative’s family must be registere
us-az	tanf-s04	us-az/manual/2026-07-17-faa5-recovery	us-az/manual/des/faa5/ca-jobs-exempt-cuban-or-haitian-entrants/block-1	CA Jobs Exempt – Cuban or Haitian Entrants	s classified as Cuban or Haitian Entrants under Section 501(e) of the Refugee Education and Assistance Act of 1980 are considered qualified nonciti
us-az	tanf-s06	us-az/manual/2026-07-17-faa5-recovery	us-az/manual/des/faa5/ca-benefit-determination/block-5	CA Payment Standard Test	CA Payment Standard Test
us-az	tanf-s07	us-az/manual/2026-07-17-faa5-recovery	us-az/manual/des/faa5/ca-benefit-determination/block-5	CA Payment Standard Test	unit is not prospectively eligible. NOTE CA eligibility is based on income standards including the Needy Family Test and the CA Payment Standard Test. For
us-az	tanf-s08	us-az/manual/2026-07-17-faa5-recovery	us-az/manual/des/faa5/ca-benefit-determination/block-6	CA Earned Income Deductions	CA Earned Income Deductions
us-az	tanf-s09	us-az/manual/2025-10-30-az-des-faa5-manual-r2026-07-15-self-contained	us-az/manual/des/faa5/transitional-child-care-tcc		ogram Violation (IPV) conviction ● Noncompliance with the Division of Child Support Services (DCSS) ● Noncompliance with Jobs Program requirements TCC Requirement
us-az	tanf-s10	us-az/manual/2026-07-17-faa5-recovery	us-az/manual/des/faa5/dependent-care-expense/block-5	CA Dependent Care	Dependent care expenses billed for the care of a child or an incapacitated adult are allowab
us-az	tanf-s13	us-az/manual/2025-10-30-az-des-faa5-manual-r2026-07-15-self-contained	us-az/manual/des/faa5		a Non-NEW Area to a NEW Service Area D Noncompliance with NEW FAA5.B Benefit Calculation Amounts 01 FFY 2026 NA COLA Changes FAA5.I Determining Benefits 01 De
us-az	tanf-s15	us-az/manual/2026-07-17-faa5-recovery	us-az/manual/des/faa5/ca-benefit-determination/block-12	CA Voluntary Withdrawal	from the budgetary unit. FAA determines whether the participant is a mandatory participant in the budgetary unit. When the participant is a mandatory participan
us-az	tanf-s16	us-az/manual/2026-07-17-faa5-recovery	us-az/manual/des/faa5/ca-jobs-exempt-working-in-unsubsidized-emp/block-1	CA Jobs Exempt – Working in Unsubsidized Employment	CA Jobs Exempt – Working in Unsubsidized Employment
us-az	tanf-s17	us-az/manual/2025-10-30-az-des-faa5-manual-r2026-07-15-self-contained	us-az/manual/des/faa5		nsibilities .01 Jobs Selection .02 Jobs Noncompliance .03 Ending Jobs Sanctions 04 Two Parent Employment Program (TPEP) Jobs 05 Tribal Native Employ
us-az	tanf-s21	us-az/manual/2026-07-17-faa5-recovery	us-az/manual/des/faa5/ca-jobs-exempt-ca-gd/block-1	CA Jobs Exempt - CA GD	REVISION 47 (01/01/19 - 12/31/19) (01/01/19 - 12/31/19) Grant Diversion budgetary units are exempt from Jobs work requirements. Key GD in th
us-az	tanf-s22	us-az/manual/2026-07-17-faa5-recovery	us-az/manual/des/faa5/ca-benefit-determination/block-4	CA Needy Family Test	he CA Needy Family Test is not conducted on Kinship Foster Care (KFC) child only cases and some Tribal TANF budgetary units. (See Tribal TANF for Trib
us-az	tanf-s27	us-az/manual/2025-10-30-az-des-faa5-manual-r2026-07-15-self-contained	us-az/manual/des/faa5/na-transitional-benefit-assistance-tba		VQ) a job or reducing their work effort (RWE), without good cause. An Intentional Program Violation (IPV). NOTE NA and CA participants who have served the CA sanction pe
us-az	tanf-s28	us-az/manual/2025-10-30-az-des-faa5-manual-r2026-07-15-self-contained	us-az/manual/des/faa5		ndatory Referrals .01 Refugee .02 Referred Mandatory .03 Employed .04 Felony Drug Conviction .05 Fleeing Felon .06 Victims or Survivors of Domestic Vio
